"","publication","publisher","date"
"1385","poundsterlinglive.com","The Economy News Ltd",2022-11-07
"1386","PR Week","Haymarket Media Group",2022-11-07
"1387","Practical Boat Owner","Future PLC",2022-11-07
"1388","Practical Caravan","Future PLC",2022-11-07
"1389","Practical Classics","H. Bauer Publishing",2022-11-07
"1390","Practical Motorhome","Future PLC",2022-11-07
"1391","Practical Photoshop","Future PLC",2022-11-07
"1392","Practical Sportsbikes","H. Bauer Publishing",2022-11-07
"1393","practicalcaravan.com","Future PLC",2022-11-07
"1394","practicalclassics.co.uk","H. Bauer Publishing",2022-11-07
"1395","practicalmotorhome.com","Future PLC",2022-11-07
"1396","practicalsportsbikesmag.co.uk","H. Bauer Publishing",2022-11-07
"1397","Press & Journal","DC Thomson Group",2022-11-07
"1398","pressandjournal.co.uk","DC Thomson Group",2022-11-07
"1399","pressgazette.co.uk","New Statesman Media Group",2022-11-07
"1400","Prestige","Newsquest Media Group",2022-11-07
"1401","Prima","The National Magazine Company Ltd/Hearst UK",2022-11-07
"1402","Prime Time","Guiton Publishing",2022-11-07
"1403","ProCycling","Future PLC",2022-11-07
"1404","Professional Photography","Future PLC",2022-11-07
"1405","Prog","Future PLC",2022-11-07
"1406","PropertyNews.com","MEDIAHUIS UK",2022-11-07
"1407","prweek.com","Haymarket Media Group",2022-11-07
"1408","Queensferry Gazette","National World Publishing Ltd",2022-11-07
"1409","Radio Times","Immediate Media Company Limited",2022-11-07
"1410","radiotimes.com","Immediate Media Company Limited",2022-11-07
"1411","radstock.nub.news","Nub News Ltd",2022-11-07
"1412","Rail","Bauer Consumer Media Limited",2022-11-07
"1413","railmagazine.com","Bauer Consumer Media Limited",2022-11-07
"1414","Rayleigh & Eastwood Times","Tindle Newspapers Limited",2022-11-07
"1415","rdg.today","The Wokingham Paper Ltd",2022-11-07
"1416","Reader's Digest","Vivat Direct Ltd",2022-11-07
"1417","readersdigest.co.uk","Vivat Direct Ltd ",2022-11-07
"1418","Reading Today","The Wokingham Paper Ltd",2022-11-07
"1419","readingchronicle.co.uk","Newsquest Media Group",2022-11-07
"1420","Real Crime","Future PLC",2022-11-07
"1421","Real Homes","Future PLC",2022-11-07
"1422","Real People","The National Magazine Company Ltd/Hearst UK",2022-11-07
"1423","realhomes.com","Future PLC ",2022-11-07
"1424","Red","The National Magazine Company Ltd/Hearst UK",2022-11-07
"1425","Redditch & Alcester Advertiser","Newsquest Media Group",2022-11-07
"1426","redditchadvertiser.co.uk","Newsquest Media Group",2022-11-07
"1427","Remember When","Reach PLC",2022-11-07
"1428","Retford Guardian","National World Publishing Ltd",2022-11-07
"1429","Retford, Gainsborough & Worksop Times","Reach PLC",2022-11-07
"1430","retfordtoday.co.uk","National World Publishing Ltd",2022-11-07
"1431","Retro Gamer","Future PLC",2022-11-07
"1432","Rhondda Leader","Reach PLC",2022-11-07
"1433","Rhyl Journal","Newsquest Media Group",2022-11-07
"1434","rhyljournal.co.uk","Newsquest Media Group",2022-11-07
"1435","Rhymney Valley Express","Reach PLC",2022-11-07
"1436","Richmond & Twickenham Times","Newsquest Media Group",2022-11-07
"1437","richmond.nub.news","Nub News Ltd",2022-11-07
"1438","richmondandtwickenhamtimes.co.uk","Newsquest Media Group",2022-11-07
"1439","Ride","H. Bauer Publishing",2022-11-07
"1440","ride.co.uk","H. Bauer Publishing",2022-11-07
"1441","Ripley & Heanor News","National World Publishing Ltd",2022-11-07
"1442","ripleyandheanornews.co.uk","National World Publishing Ltd",2022-11-07
"1443","Ripon Gazette","National World Publishing Ltd",2022-11-07
"1444","ripongazette.co.uk","National World Publishing Ltd",2022-11-07
"1445","Rochdale Observer","Reach PLC",2022-11-07
"1446","rochdaleonline.co.uk","rochdaleonline.co.uk",2022-11-07
"1447","Romford Recorder","Newsquest Media Group",2022-11-07
"1448","romfordrecorder.co.uk","Newsquest Media Group",2022-11-07
"1449","Romsey Advertiser","Newsquest Media Group ",2022-11-07
"1450","romseyadvertiser.co.uk","Newsquest Media Group",2022-11-07
"1451","Ronda","Cedar Communications Ltd",2022-11-07
"1452","Rossendale Free Press","Reach PLC",2022-11-07
"1453","rossgazette.com","Tindle Newspapers Limited",2022-11-07
"1454","rossgazette.com","Tindle Newspapers Limited",2022-11-07
"1455","Ross-shire Journal","Highland News & Media Limited",2022-11-07
"1456","ross-shirejournal.co.uk","Highland News & Media Limited",2022-11-07
"1457","Rotherham Advertiser","Regional Media Ltd",2022-11-07
"1458","rotherhamadvertiser.co.uk","Regional Media Ltd",2022-11-07
"1459","Rothes Glen","Paragraph Publishing Ltd",2022-11-07
"1460","rothesglenspeyside.com","Paragraph Publishing Ltd",2022-11-07
"1461","Royal Borough Observer","Newsquest Media Group",2022-11-07
"1462","Royal Sutton Coldfield Chronicle","MNA",2022-11-07
"1463","Royal Yachting Association","Immediate Media Company Limited",2022-11-07
"1464","royston-crow.co.uk","Newsquest Media Group",2022-11-07
"1465","RSPB: Nature's Home","Immediate Media Company Limited",2022-11-07
"1466","RSPB: Wild Explorer","Immediate Media Company Limited",2022-11-07
"1467","RSPB: Wild Times","Immediate Media Company Limited",2022-11-07
"1468","RSPB: Wing Beat","Immediate Media Company Limited",2022-11-07
"1469","Rugby Advertiser ","National World Publishing Ltd",2022-11-07
"1470","Rugby World","Future PLC",2022-11-07
"1471","rugbyadvertiser.co.uk","National World Publishing Ltd",2022-11-07
"1472","rugbyworld.com","Future PLC",2022-11-07
"1473","Rum","Paragraph Publishing Ltd",2022-11-07
"1474","rum-mag.com","Paragraph Publishing Ltd",2022-11-07
"1475","Runcorn & Widnes Weekly News","Reach PLC",2022-11-07
"1476","Runcorn and Widnes World","Newsquest Media Group",2022-11-07
"1477","runcornandwidnesworld.co.uk","Newsquest Media Group",2022-11-07
"1478","Runner's World","Hearst UK Limited",2022-11-07
"1479","runnersworld.com/uk","Hearst UK",2022-11-07
"1480","Rutherglen Reformer","Reach PLC",2022-11-07
"1481","Rutland Times","Iliffe Media Group Ltd",2022-11-07
"1482","rutland-times.co.uk","Iliffe Media Group Ltd",2022-11-07
"1483","Rye & Battle Observer","National World Publishing Ltd",2022-11-07
"1484","ryeandbattleobserver.co.uk","National World Publishing Ltd",2022-11-07
"1485","Saffron Walden Reporter","Newsquest Media Group",2022-11-07
"1486","saffronwaldenreporter.co.uk","Newsquest Media Group",2022-11-07
"1487","Sale & Altrincham Messenger","Newsquest Media Group",2022-11-07
"1488","Salisbury Journal","Newsquest Media Group",2022-11-07
"1489","salisburyjournal.co.uk","Newsquest Media Group",2022-11-07
"1490","Saltash Voice","Tindle Newspapers Limited",2022-11-07
"1491","Sandbach Chronicle","Congleton Ltd",2022-11-07
"1492","sandbach.nub.news","Nub News Ltd",2022-11-07
"1493","Sandwell & Halesowen Chronicle Week","MNA",2022-11-07
"1494","Scotch Whisky","Paragraph Publishing Ltd",2022-11-07
"1495","Scotland on Sunday","National World Publishing Ltd",2022-11-07
"1496","scotsmagazine.com","DC Thomson Group",2022-11-07
"1497","scotsman.com","National World Publishing Ltd",2022-11-07
"1498","Scottish Daily Express","Reach PLC",2022-11-07
"1499","Scottish Daily Mail","Associated Newspapers Limited",2022-11-07
"1500","Scottish Daily Mirror","Reach PLC",2022-11-07
"1501","Scottish Daily Star","Reach PLC",2022-11-07
"1502","Scottish Field","Wyvex Media Limited",2022-11-07
"1503","Scottish Mail on Sunday","Associated Newspapers Limited",2022-11-07
"1504","Scottish Sunday Express","Reach PLC",2022-11-07
"1505","Scottish Sunday Mirror","Reach PLC",2022-11-07
"1506","scottishdailyexpress.co.uk","Reach PLC",2022-11-07
"1507","scottishfield.co.uk","Wyvex Media Limited",2022-11-07
"1508","Scunthorpe Telegraph","Reach PLC",2022-11-07
"1509","Sea Angler","H. Bauer Publishing",2022-11-07
"1510","seaangler.co.uk","H. Bauer Publishing",2022-11-07
"1511","seaton.nub.news","Nub News Ltd",2022-11-07
"1512","Secure Computing","Haymarket Media Group",2022-11-07
"1513","Selkirk Weekly Advertiser","National World Publishing Ltd",2022-11-07
"1514","Sevenoaks Chronicle","Reach PLC",2022-11-07
"1515","Sew & Make Toys","DC Thomson Group",2022-11-07
"1516","Sew","DC Thomson Group",2022-11-07
"1517","SFX","Future PLC",2022-11-07
"1518","Sheerness Times Guardian","Iliffe Media Group Ltd",2022-11-07
"1519","Sheffield Telegraph","National World Publishing Ltd",2022-11-07
"1520","sheffieldtelegraph.co.uk","National World Publishing Ltd",2022-11-07
"1521","Shepton Mallet Journal","Reach PLC",2022-11-07
"1522","sheptonmallet.nub.news","Nub News Ltd",2022-11-07
"1523","shieldsgazette.com","National World Publishing Ltd",2022-11-07
"1524","Shoot in Scotland","Future PLC",2022-11-07
"1525","Shooting Club Directory","Future PLC",2022-11-07
"1526","Shooting Gazette","Future PLC",2022-11-07
"1527","Shooting Industry Directory","Future PLC",2022-11-07
"1528","Shooting Times & Country Magazine","Future PLC",2022-11-07
"1529","shootinguk.co.uk","Future PLC",2022-11-07
"1530","Shoreham Herald","National World Publishing Ltd",2022-11-07
"1531","shorehamherald.co.uk","National World Publishing Ltd",2022-11-07
"1532","shotleypeninsula.nub.news","Nub News Ltd",2022-11-07
"1533","Shout","DC Thomson Group",2022-11-07
"1534","shoutmag.co.uk","DC Thomson Group",2022-11-07
"1535","Shrewsbury Chronicle","MNA",2022-11-07
"1536","Shropshire Living","Newsquest Media Group",2022-11-07
"1537","Shropshire Magazine","MNA",2022-11-07
"1538","Shropshire Star","MNA",2022-11-07
"1539","Shropshire Star","MNA",2022-11-07
"1540","shropshirestar.com","MNA",2022-11-07
"1541","Sidmouth Herald","Newsquest Media Group",2022-11-07
"1542","sidmouth.nub.news","Nub News Ltd",2022-11-07
"1543","sidmouthherald.co.uk","Newsquest Media Group",2022-11-07
"1544","Sight & Sound","British Film Institute",2022-11-07
"1545","Simply Christmas","Immediate Media Company Limited",2022-11-07
"1546","Simply Crochet","Immediate Media Company Limited",2022-11-07
"1547","Simply Knitting","Immediate Media Company Limited",2022-11-07
"1548","Simply Sewing","Immediate Media Company Limited",2022-11-07
"1549","Sittingbourne News Extra","Iliffe Media Group Ltd",2022-11-07
"1550","Skegness Standard","National World Publishing Ltd",2022-11-07
"1551","skegnessstandard.co.uk","National World Publishing Ltd",2022-11-07
"1552","Skelmersdale Advertiser","Reach PLC",2022-11-07
"1553","Sleaford Standard","National World Publishing Ltd",2022-11-07
"1554","Sleaford Target","Reach PLC",2022-11-07
"1555","sleafordstandard.co.uk","National World Publishing Ltd",2022-11-07
"1556","Slimming World","Miles Bramwell Executive Services Ltd",2022-11-07
"1557","slimmingworld.co.uk","Miles-Bramwell Executive Services Ltd",2022-11-07
"1558","Slough & South Bucks Observer","Newsquest Media Group",2022-11-07
"1559","Slough & Windsor Express","Baylis Community Media CIC",2022-11-07
"1560","sloughobserver.co.uk","Newsquest Media Group",2022-11-07
"1561","SoGlos","SoPublishing",2022-11-07
"1562","Somerset County Gazette","Newsquest Media Group",2022-11-07
"1563","Somerset County Gazette","Newsquest Media Group",2022-11-07
"1564","Somerset Life","Newsquest Media Group",2022-11-07
"1565","Somerset Living","Newsquest Media Group",2022-11-07
"1566","Somerset Standard & Guardian","Reach PLC",2022-11-07
"1567","somersetcountygazette.co.uk","Newsquest Media Group",2022-11-07
"1568","somersetlive.co.uk","Reach PLC",2022-11-07
"1569","Soul & Spirit","DC Thomson Group",2022-11-07
"1570","South Cheshire Chronicle","Reach PLC",2022-11-07
"1571","South Hams Gazette","Tindle Newspapers Limited",2022-11-07
"1572","South Shropshire Journal","MNA",2022-11-07
"1573","South Wales Argus ","Newsquest Media Group",2022-11-07
"1574","South Wales Echo","Reach PLC",2022-11-07
"1575","South Wales Evening Post","Reach PLC",2022-11-07
"1576","South Wales Guardian","Newsquest Media Group",2022-11-07
"1577","South West Farmer","Newsquest Media Group",2022-11-07
"1578","South Yorkshire Times","National World Publishing Ltd",2022-11-07
"1579","Southend Echo","Newsquest Media Group",2022-11-07
"1580","Southern Daily Echo","Newsquest Media Group",2022-11-07
"1581","southhams-today.co.uk","Tindle Newspapers Limited",2022-11-07
"1582","Southport Visiter","Reach PLC",2022-11-07
"1583","southwalesargus.co.uk","Newsquest Media Group",2022-11-07
"1584","southwalesguardian.co.uk","Newsquest Media Group",2022-11-07
"1585","Southwark News","Southwark News Limited",2022-11-07
"1586","southwarknews.co.uk","Southwark News Limited",2022-11-07
"1587","southwestbusiness.co.uk","Reach PLC",2022-11-07
"1588","southwestfarmer.co.uk","Newsquest Media Group",2022-11-07
"1589","southyorkshiretimes.co.uk","National World Publishing Ltd",2022-11-07
"1590","space.com","Future PLC",2022-11-07
"1591","Spalding Guardian","Iliffe Media Group Ltd",2022-11-07
"1592","spaldingtoday.co.uk","Iliffe Media Group Ltd",2022-11-07
"1593","spectator.co.uk","The Spectator",2022-11-07
"1594","Spenborough Guardian","National World Publishing Ltd",2022-11-07
"1595","spenboroughguardian.co.uk","National World Publishing Ltd",2022-11-07
"1596","Spilsby Standard","National World Publishing Ltd",2022-11-07
"1597","Spirit & Destiny","H.Bauer Publishing",2022-11-07
"1598","spiritanddestiny.co.uk","H. Bauer Publishing",2022-11-07
"1599","Sporting Rifle","Future PLC",2022-11-07
"1600","sporting-rifle.com","Future PLC",2022-11-07
"1601","St Albans & Harpenden Review","Newsquest Media Group",2022-11-07
"1602","St Andrews Citizen","National World Publishing Ltd",2022-11-07
"1603","St Austell Voice","Tindle Newspapers Limited",2022-11-07
"1604","St Helens Star","Newsquest Media Group",2022-11-07
"1605","Staffordshire Newsletter","Reach PLC",2022-11-07
"1606","staffordshire-live.co.uk","Reach PLC",2022-11-07
"1607","Staines Chronicle & Informer","Reach PLC",2022-11-07
"1608","stalbansreview.co.uk","Newsquest Media Group",2022-11-07
"1609","Stamford Mercury","Iliffe Media Group Ltd",2022-11-07
"1610","stamfordmercury.co.uk","Iliffe Media Group Ltd",2022-11-07
"1611","Steam Railway","H. Bauer Publishing",2022-11-07
"1612","steamrailway.co.uk","H. Bauer Publishing",2022-11-07
"1613","sthelensreporter.co.uk","National World Publishing Ltd",2022-11-07
"1614","sthelensstar.co.uk","Newsquest Media Group",2022-11-07
"1615","Stirling Observer","Reach PLC",2022-11-07
"1616","stirlingnews.co.uk","Newsquest Media Group",2022-11-07
"1617","Stockport Express","Reach PLC",2022-11-07
"1618","stokesentinel.co.uk","Reach PLC",2022-11-07
"1619","Stornoway Gazette","National World Publishing Ltd",2022-11-07
"1620","stornowaygazette.co.uk","National World Publishing Ltd",2022-11-07
"1621","Stourbridge News","Newsquest Media Group",2022-11-07
"1622","stourbridgenews.co.uk","Newsquest Media Group",2022-11-07
"1623","Stranraer & Wigtownshire Free Press","Earl of Stair",2022-11-07
"1624","Stratford Herald","Iliffe Media Group Ltd",2022-11-07
"1625","Strathallan Times","Newsquest Media Group",2022-11-07
"1626","strathallantimes.co.uk","Newsquest Media Group",2022-11-07
"1627","Strathearn Herald","Reach PLC",2022-11-07
"1628","Strathspey & Badenoch Herald","Highland News & Media Limited",2022-11-07
"1629","strathspey-herald.co.uk","Highland News & Media Limited",2022-11-07
"1630","Stroud News & Journal","Newsquest Media Group",2022-11-07
"1631","stroudnewsandjournal.co.uk","Newsquest Media Group",2022-11-07
"1632","Style at Home","Future PLC",2022-11-07
"1633","Stylist","DC Thomson Group",2022-11-07
"1634","Stylist Loves","DC Thomson Group",2022-11-07
"1635","stylist.co.uk","DC Thomson Group",2022-11-07
"1636","Suffolk Free Press","Iliffe Media Group Ltd",2022-11-07
"1637","Suffolk Live","Reach PLC",2022-11-07
"1638","Suffolk Magazine","Newsquest Media Group",2022-11-07
"1639","suffolknews.co.uk","Iliffe Media Group Ltd",2022-11-07
"1640","Sunday Echo","Reach PLC",2022-11-07
"1641","Sunday Express","Reach PLC",2022-11-07
"1642","Sunday Life","MEDIAHUIS UK",2022-11-07
"1643","Sunday Mail","Reach PLC",2022-11-07
"1644","Sunday Mercury","Reach PLC",2022-11-07
"1645","Sunday Mirror","Reach PLC",2022-11-07
"1646","Sunday People","Reach PLC",2022-11-07
"1647","Sunday Sun","Reach PLC",2022-11-07
"1648","Sunday World","Sunday World",2022-11-07
"1649","sundaypost.co.uk","DC Thomson Group",2022-11-07
"1650","Sunderland Echo","National World Publishing Ltd",2022-11-07
"1651","sunderlandecho.com","National World Publishing Ltd",2022-11-07
"1652","Supply Management","Haymarket Media Group",2022-11-07
"1653","Surrey Advertiser","Reach PLC",2022-11-07
"1654","Surrey Comet","Newsquest Media Group",2022-11-07
"1655","Surrey Life","Newsquest Media Group",2022-11-07
"1656","Surrey Mirror","Reach PLC",2022-11-07
"1657","surreycomet.co.uk","Newsquest Media Group",2022-11-07
"1658","Sussex Express","National World Publishing Ltd",2022-11-07
"1659","Sussex Life","Newsquest Media Group",2022-11-07
"1660","Sussex Living","Sussex Living Ltd",2022-11-07
"1661","sussexexpress.co.uk","National World Publishing Ltd",2022-11-07
"1662","sussexlive.co.uk","Reach PLC",2022-11-07
"1663","sussexworld.co.uk","National World Publishing Ltd",2022-11-07
"1664","Sutton & Croydon Guardian","Newsquest Media Group",2022-11-07
"1665","Sutton Coldfield Observer","Reach PLC",2022-11-07
"1666","swadlincote.nub.news","Nub News Ltd",2022-11-07
"1667","Swanage & Wareham Voice","Newsquest Media Group",2022-11-07
"1668","Swansea Life","Reach PLC",2022-11-07
"1669","Swindon Advertiser","Newsquest Media Group",2022-11-07
"1670","swindonadvertiser.co.uk","Newsquest Media Group",2022-11-07
"1671","T3","Future PLC",2022-11-07
"1672","t3.com","Future PLC",2022-11-07
"1673","Take a Break","H. Bauer Publishing",2022-11-07
"1674","Take a Break Codebreakers","H. Bauer Publishing",2022-11-07
"1675","Take a Break Monthly","H. Bauer Publishing",2022-11-07
"1676","Take A Puzzle","H. Bauer Publishing",2022-11-07
"1677","takeabreak.co.uk","H. Bauer Publishing",2022-11-07
"1678","Tamar Valley Times","Tindle Newspapers Limited",2022-11-07
"1679","Tameside Reporter","Quest Media Network",2022-11-07
"1680","Tamworth Herald","Reach PLC",2022-11-07
"1681","Tatler","Condé Nast Publications Ltd",2022-11-07
"1682","Tavistock Times Gazette","Tindle Newspapers Limited",2022-11-07
"1683","tavistock-today.co.uk","Tindle Newspapers Limited",2022-11-07
"1684","Teach Early Years","DC Thomson Group",2022-11-07
"1685","Teach Primary","DC Thomson Group",2022-11-07
"1686","Teach Secondary","DC Thomson Group",2022-11-07
"1687","Teach Specials","DC Thomson Group",2022-11-07
"1688","techradar.com","Future PLC",2022-11-07
"1689","teddington.nub.news","Nub News Ltd",2022-11-07
"1690","Teignmouth Post","Tindle Newspapers Limited",2022-11-07
"1691","teignmouth-today.co.uk","Tindle Newspapers Limited",2022-11-07
"1692","Telegraph & Argus","Newsquest Media Group",2022-11-07
"1693","Telegraph.co.uk","Telegraph Media Group Ltd",2022-11-07
"1694","Telford Journal","MNA",2022-11-07
"1695","Tenby Observer","Tindle Newspapers Limited",2022-11-07
"1696","tenby-today.co.uk","Tindle Newspapers Limited",2022-11-07
"1697","Tes","Tes Global",2022-11-07
"1698","Tes Scotland","Tes Global",2022-11-07
"1699","tes.com","Tes Global",2022-11-07
"1700","Tesco Christmas in July","Cedar Communications Ltd",2022-11-07
"1701","Tesco Festive Food to Order","Cedar Communications Ltd",2022-11-07
"1702","Tesco Gift Guide","Cedar Communications Ltd",2022-11-07
"1703","Tesco Home","Cedar Communications Ltd",2022-11-07
"1704","Tesco Magazine","Cedar Communications Ltd",2022-11-07
"1705","Tesco Real Food","Cedar Communications Ltd",2022-11-07
"1706","Tesco Toys","Cedar Communications",2022-11-07
"1707","thametoday.co.uk","National World Publishing Ltd",2022-11-07
"1708","Thanet Extra","Iliffe Media Group Ltd",2022-11-07
"1709","That’s Life","H. Bauer Publishing",2022-11-07
"1710","That's Life Monthly","H. Bauer Publishing",2022-11-07
"1711","thatslife.co.uk","H. Bauer Publishing",2022-11-07
"1712","The Argus","Newsquest Media Group",2022-11-07
"1713","The Arran Banner","Wyvex Media Limited",2022-11-07
"1714","The Assessor","Plenham Ltd",2022-11-07
"1715","The Belfast Telegraph","MEDIAHUIS UK",2022-11-07
"1716","The Bermondsey Biscuit and Rotherhithe Docker","Southwark News Limited",2022-11-07
"1717","The Bolton News","Newsquest Media Group",2022-11-07
"1718","The Bookseller","The Stage Media Company Ltd",2022-11-07
"1719","The Cannavist","Orange Fox Media Ltd",2022-11-07
"1720","The Chronicle","Reach PLC",2022-11-07
"1721","The Club","Cedar Communications Ltd",2022-11-07
"1722","The Comet","Newsquest Media Group",2022-11-07
"1723","The Commercial Greenhouse Grower","ACT Publishing Ltd",2022-11-07
"1724","The Cornishman","Reach PLC",2022-11-07
"1725","The Courier","DC Thomson Group",2022-11-07
"1726","The Courier","National World Publishing Ltd",2022-11-07
"1727","The Cumberland News","Newsquest Media Group",2022-11-07
"1728","The Daily Telegraph","Telegraph Media Group Ltd",2022-11-07
"1729","The Extra","National World Publishing Ltd",2022-11-07
"1730","The Farmer","MNA",2022-11-07
"1731","The Field","Future PLC",2022-11-07
"1732","The Forest of Dean & Wye Valley Review","Tindle Newspapers Limited",2022-11-07
"1733","The Forester","Tindle Newspapers Limited",2022-11-07
"1734","The Fruit Grower","ACT Publishing Ltd",2022-11-07
"1735","The Gazette","Reach PLC",2022-11-07
"1736","The Guernsey Press and Star","Guernsey Press Company",2022-11-07
"1737","The Hawick Paper","The Hawick Paper Ltd",2022-11-07
"1738","The Herald","Newsquest Media Group",2022-11-07
"1739","The Herald","Newsquest Media Group",2022-11-07
"1740","The Herald","Newsquest Media Group",2022-11-07
"1741","The Herald","Reach PLC",2022-11-07
"1742","The Herald","Newsquest Media Group",2022-11-07
"1743","The Herald","Newsquest Media Group",2022-11-07
"1744","The Herald on Sunday","Newsquest Media Group",2022-11-07
"1745","The Impartial Reporter","Newsquest Media Group",2022-11-07
"1746","The Irish News","The Irish News",2022-11-07
"1747","The Jewish Chronicle","The Jewish Chronicle",2022-11-07
"1748","The Journal","Reach PLC",2022-11-07
"1749","The Knitter","Immediate Media Company Limited",2022-11-07
"1750","The Lady Magazine","The Lady Limited",2022-11-07
"1751","The Leader","Newsquest Media Group",2022-11-07
"1752","The Mail","Newsquest Media Group",2022-11-07
"1753","The Mail on Sunday","Associated Newspapers Limited",2022-11-07
"1754","The Mandarin Oriental Magazine","Cedar Communications Ltd",2022-11-07
"1755","The Midsomer Norton, Radstock and District Journal","Tindle Newspapers Limited",2022-11-07
"1756","The National","Newsquest Media Group",2022-11-07
"1757","The News","National World Publishing Ltd",2022-11-07
"1758","The Northern Echo","Newsquest Media Group",2022-11-07
"1759","The Northern Farmer","Newsquest Media Group",2022-11-07
"1760","The Northern Times","Highland News & Media Limited",2022-11-07
"1761","The Oban Times","Wyvex Media Limited",2022-11-07
"1762","The Official Jaqueline Wilson Magazine","DC Thomson Group",2022-11-07
"1763","The Oldham Times","Newsquest Media Group",2022-11-07
"1764","The Orcadian","Orkney Media Group Ltd",2022-11-07
"1765","The Orkney Islander","Orkney Media Group Ltd",2022-11-07
"1766","The Osteopath","Immediate Media Company Limited",2022-11-07
"1767","The Oxford Times","Newsquest Media Group",2022-11-07
"1768","The Pembrokeshire Herald","UK Ltd",2022-11-07
"1769","The People’s Friend","DC Thomson Group",2022-11-07
"1770","The People's Friend Pocket Novel","DC Thomson Group",2022-11-07
"1771","The People's Friend Special","DC Thomson Group",2022-11-07
"1772","The PMFA Journal","Pinpoint Scotland Ltd",2022-11-07
"1773","The Press","Newsquest Media Group",2022-11-07
"1774","The Reading Chronicle","Newsquest Media Group",2022-11-07
"1775","The Recycler","Recycler Publishing & Events Ltd",2022-11-07
"1776","The Renfrewshire Gazette","Newsquest Media Group",2022-11-07
"1777","The Ross Gazette","Tindle Newspapers Limited",2022-11-07
"1778","The Royston Crow","Newsquest Media Group",2022-11-07
"1779","The Scarborough News","National World Publishing Ltd",2022-11-07
"1780","The Scots Magazine","DC Thomson Group",2022-11-07
"1781","The Scotsman","National World Publishing Ltd",2022-11-07
"1782","The Scottish Sun","News UK",2022-11-07
"1783","The Scottish Sun on Sunday","News UK",2022-11-07
"1784","The Sentinel","Reach PLC",2022-11-07
"1785","The Shields Gazette","National World Publishing Ltd",2022-11-07
"1786","The Shuttle","Newsquest Media Group",2022-11-07
"1787","The Smart Woman's Guide To The Menopause","Future PLC",2022-11-07
"1788","The Southern Reporter","National World Publishing Ltd",2022-11-07
"1789","The Spectator","The Spectator",2022-11-07
"1790","The Stage","The Stage Media Company Ltd",2022-11-07
"1791","The Standard","Newsquest Media Group",2022-11-07
"1792","The Star","National World Publishing Ltd",2022-11-07
"1793","The Sun","News UK",2022-11-07
"1794","The Sun on Sunday","News UK",2022-11-07
"1795","The Sunday Post","DC Thomson Group",2022-11-07
"1796","The Sunday Telegraph","Telegraph Media Group Ltd",2022-11-07
"1797","The Sunday Times","News UK",2022-11-07
"1798","The Sunday Times Scotland","News UK",2022-11-07
"1799","The Times","News UK",2022-11-07
"1800","The Times Literary Supplement","News UK",2022-11-07
"1801","The Times Magazine","News UK",2022-11-07
"1802","The Times Scotland","News UK",2022-11-07
"1803","The Vegetable Farmer","ACT Publishing Ltd",2022-11-07
"1804","The Visitor","National World Publishing Ltd",2022-11-07
"1805","The Way We Were","Reach PLC",2022-11-07
"1806","The Weekender","Regional Media Ltd",2022-11-07
"1807","The West Briton","Reach PLC",2022-11-07
"1808","The Westmorland Gazette","Newsquest Media Group",2022-11-07
"1809","The Wharf","Reach PLC",2022-11-07
"1810","The Whitehaven News","Newsquest Media Group",2022-11-07
"1811","The World of Interiors","Condé Nast Publications Ltd",2022-11-07
"1812","The Yorkshire Post","National World Publishing Ltd",2022-11-07
"1813","theargus.co.uk","Newsquest Media Group",2022-11-07
"1814","thebanbridgechronicle.com","Bann Media Limited",2022-11-07
"1815","theboltonnews.co.uk","Newsquest Media Group",2022-11-07
"1816","thebookseller.com","The Stage Media Company Ltd",2022-11-07
"1817","thecomet.net","Newsquest Media Group",2022-11-07
"1818","thecourier.co.uk","DC Thomson Group",2022-11-07
"1819","thedrinksreport.com","Paragraph Publishing Ltd",2022-11-07
"1820","thefield.co.uk","Future PLC",2022-11-07
"1821","theforester.co.uk","Tindle Newspapers Limited",2022-11-07
"1822","theforestreview.co.uk","Tindle Newspapers Limited",2022-11-07
"1823","thefutureshapers.com","The Future Shaping Media Company Ltd",2022-11-07
"1824","thehawickpaper.co.uk","The Hawick Paper Ltd",2022-11-07
"1825","thejc.com","The Jewish Chronicle",2022-11-07
"1826","thenational.scot","Newsquest Media Group",2022-11-07
"1827","thenational.wales","Newsquest Media Group",2022-11-07
"1828","thenationalnews.com","The National FZ LLC",2022-11-07
"1829","thenorthernecho.co.uk","Newsquest Media Group",2022-11-07
"1830","theoldhamtimes.co.uk","Newsquest Media Group",2022-11-07
"1831","thepeoplesfriend.co.uk","DC Thomson Group",2022-11-07
"1832","thepmfajournal.com","Pinpoint Scotland Ltd",2022-11-07
"1833","therecycler.com","Recycler Publishing & Events Ltd",2022-11-07
"1834","theresident.co.uk","Newsquest Media Group",2022-11-07
"1835","thescarboroughnews.co.uk","National World Publishing Ltd",2022-11-07
"1836","thescottishfarmer.co.uk","Newsquest Media Group",2022-11-07
"1837","thescottishsun.co.uk","News UK",2022-11-07
"1838","thesouthernreporter.co.uk","National World Publishing Ltd",2022-11-07
"1839","thestage.co.uk","The Stage Media Company Ltd",2022-11-07
"1840","thestar.co.uk","National World Publishing Ltd",2022-11-07
"1841","thestrad.com","Newsquest Media Group",2022-11-07
"1842","thesun.co.uk","News UK",2022-11-07
"1843","thesundaytimes.co.uk","News UK",2022-11-07
"1844","thetelegraphandargus.co.uk","Newsquest Media Group",2022-11-07
